L,A,B
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,130,243
127,130,243
124,130,242
124,130,242
124,130,242
124,130,242
124,130,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
125,128,241
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
124,130,242
124,130,242
124,130,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
125,128,241
125,128,241
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
124,130,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
125,128,241
125,128,241
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
125,128,241
125,128,241
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
125,128,241
125,128,241
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
125,128,241
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
127,131,241
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
125,128,241
125,128,241
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,129,239
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
127,131,241
127,131,241
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
125,128,241
125,128,241
125,128,241
125,128,241
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,129,239
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
127,131,241
127,131,241
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
126,128,241
126,128,241
126,128,241
125,128,241
125,128,241
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
125,128,241
125,129,239
125,129,239
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
127,129,242
126,128,241
126,128,241
126,128,241
126,128,241
126,128,241
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
125,128,241
125,129,239
125,129,239
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
127,129,242
126,128,241
126,128,241
126,128,241
126,128,241
126,128,241
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
