L,A,B
115,168,78
115,167,82
116,168,86
116,167,88
116,168,93
115,169,94
116,170,95
114,170,95
114,172,95
112,173,95
110,172,97
109,171,98
108,170,97
108,170,97
106,170,94
106,171,89
104,173,84
104,173,80
104,173,80
107,173,86
108,171,92
110,170,98
113,168,101
117,168,102
118,167,101
120,166,101
123,165,99
123,165,99
123,166,95
121,168,90
121,169,83
119,169,80
117,170,80
116,169,77
115,172,77
111,170,76
110,169,87
110,168,109
112,168,129
113,170,137
110,169,125
105,168,111
113,169,80
112,168,79
120,165,82
120,165,82
120,165,82
118,166,82
117,165,81
117,165,81
118,165,84
118,165,84
119,166,86
120,167,87
119,168,89
117,168,89
117,170,88
116,171,88
117,172,89
115,173,88
115,171,98
114,169,101
113,170,102
111,170,104
109,170,103
108,171,100
105,173,96
105,174,93
102,174,90
105,174,93
108,172,94
111,171,99
116,169,101
118,168,99
120,165,96
123,164,96
124,167,87
124,167,88
124,167,88
123,168,85
123,169,81
120,169,78
119,168,76
118,169,74
117,172,71
115,171,70
113,169,78
112,168,95
114,168,116
114,170,125
111,169,119
107,168,109
111,170,80
110,169,79
119,166,86
119,166,86
119,166,86
118,167,86
118,165,85
118,165,84
120,165,84
120,165,82
122,165,83
122,166,81
122,166,81
121,167,79
120,169,80
119,170,78
118,171,79
118,171,79
117,168,93
117,169,95
116,169,101
114,169,104
114,170,107
111,171,109
107,172,106
106,173,104
104,174,101
106,174,99
107,173,99
111,171,97
116,170,95
119,167,93
123,165,91
123,164,88
123,168,73
123,168,77
123,167,80
122,168,80
122,168,78
119,168,76
119,168,76
117,169,71
118,170,70
116,171,70
114,170,73
113,168,84
113,169,98
113,169,108
112,170,112
111,169,111
112,170,86
111,169,85
117,168,89
117,168,89
117,168,89
119,168,87
118,167,86
118,165,84
120,165,80
122,164,78
123,166,76
124,165,73
124,165,71
124,165,69
122,166,69
121,167,69
121,169,70
121,169,70
118,168,81
118,168,83
117,169,87
116,168,93
116,169,99
113,169,104
111,171,109
110,171,111
108,172,111
108,173,109
109,172,102
111,171,97
115,169,91
118,167,85
121,166,81
122,164,78
120,169,64
121,169,69
121,168,74
121,167,77
119,168,77
119,168,76
118,168,73
118,168,71
117,169,71
117,169,71
115,169,73
113,168,74
113,169,80
113,170,93
114,170,105
114,169,114
112,170,93
111,169,92
115,170,89
116,169,89
116,169,89
117,169,87
118,167,85
118,166,80
121,165,76
124,165,71
125,165,68
127,165,64
126,164,61
126,164,61
124,165,61
123,166,61
121,166,63
122,167,64
118,168,69
118,168,69
118,168,71
117,168,75
116,168,83
116,168,93
114,169,104
112,169,114
112,170,119
111,170,116
110,170,110
112,169,98
114,169,88
116,169,79
118,168,71
121,167,68
118,169,64
118,169,66
118,168,71
118,167,75
117,168,76
117,168,75
117,169,71
117,169,71
116,167,72
117,168,75
116,167,72
114,169,68
114,170,69
115,171,82
114,169,101
114,168,116
112,170,93
111,169,92
115,170,89
115,170,89
115,170,87
116,170,86
118,168,81
118,167,76
121,166,73
124,166,68
127,165,62
127,164,58
127,165,56
126,164,55
125,164,55
125,164,57
123,164,58
123,166,61
120,169,62
120,169,60
117,169,59
117,169,61
117,169,69
116,168,83
116,169,99
115,168,112
115,168,122
113,169,122
112,169,114
112,169,101
114,169,86
115,169,75
117,170,66
118,170,60
117,168,63
117,168,65
116,168,70
116,167,74
117,168,76
117,168,75
117,169,69
118,170,70
117,168,75
117,167,78
116,167,74
114,169,67
114,171,64
115,172,77
114,169,101
114,166,118
111,170,90
110,169,87
113,170,93
115,169,94
117,169,94
120,167,87
122,167,76
123,165,63
123,165,55
123,165,55
124,165,59
123,164,62
123,164,62
122,163,57
122,164,52
124,164,50
125,163,52
125,163,54
118,169,48
119,168,50
120,167,53
123,164,58
123,163,64
124,163,72
125,163,86
124,164,102
121,165,116
118,167,120
114,167,113
111,168,100
111,170,88
109,169,81
109,168,78
111,169,82
112,166,88
111,167,80
111,168,71
112,168,67
112,168,71
114,167,75
114,168,74
116,168,68
116,169,65
117,168,63
117,169,61
117,169,59
118,170,62
119,169,72
122,166,87
123,165,101
116,169,87
115,168,88
112,170,93
114,170,95
117,169,94
119,168,86
121,166,73
121,166,61
122,166,55
123,165,53
122,163,57
121,163,61
121,163,61
120,163,56
121,163,53
121,163,51
123,162,53
123,162,55
118,167,52
120,167,55
122,165,58
121,163,61
122,162,63
123,164,68
122,164,80
120,166,94
118,166,108
117,167,116
113,168,113
111,167,104
111,169,95
111,168,87
112,167,84
114,169,86
113,167,91
113,168,85
113,169,82
113,169,82
114,167,85
113,166,84
113,167,79
112,168,69
114,169,65
114,169,65
116,169,65
116,169,65
117,169,68
118,169,76
119,168,87
119,166,96
112,169,90
112,169,90
111,172,95
114,171,94
116,169,91
118,168,83
120,167,71
120,166,58
122,166,53
122,164,52
121,164,56
121,164,59
119,164,61
118,163,58
118,164,55
120,163,55
120,163,56
121,162,60
119,164,61
121,163,63
121,163,65
121,163,65
121,163,63
120,165,64
119,166,70
117,167,82
115,168,98
113,168,110
113,167,115
112,167,110
114,169,104
115,168,96
116,167,90
117,168,89
116,169,89
115,168,90
115,167,92
114,167,97
114,166,100
114,167,99
113,167,91
112,168,79
112,169,72
112,170,70
112,169,72
113,169,72
114,169,75
115,170,77
115,169,83
116,169,89
107,172,92
107,172,92
111,172,95
113,171,95
115,170,89
118,168,81
119,167,68
120,166,57
121,165,50
121,165,50
121,164,56
119,164,59
119,164,61
118,165,61
118,165,59
118,165,61
118,165,63
119,163,66
121,162,66
121,162,68
120,161,67
120,161,65
119,164,61
118,167,60
115,168,62
113,168,74
112,169,92
111,169,108
111,168,115
113,168,113
117,169,107
118,168,97
119,166,88
122,167,86
118,168,79
118,168,83
116,167,88
115,166,97
116,168,104
114,168,106
114,169,102
112,170,96
110,169,87
110,170,84
111,170,80
111,170,78
111,170,76
111,170,76
112,171,79
112,171,81
106,173,94
106,173,94
109,171,96
112,170,94
115,170,89
117,167,78
118,166,66
119,165,56
122,165,50
122,164,52
121,164,56
119,164,61
118,164,65
117,165,65
117,165,65
117,165,66
117,164,70
117,164,72
125,162,69
122,161,68
122,161,68
120,162,64
118,165,59
115,167,57
113,169,62
111,168,73
111,169,92
111,170,106
112,169,114
115,168,112
119,170,104
121,168,90
122,166,77
123,167,72
121,168,64
120,168,68
118,167,75
118,168,83
116,169,91
116,169,99
115,170,105
115,170,105
112,169,101
111,169,93
112,170,86
111,170,80
111,170,76
111,170,76
112,172,76
112,172,76
108,173,91
108,173,91
110,170,98
112,170,94
114,169,86
116,167,75
119,166,64
121,164,56
123,163,51
124,163,54
122,163,59
122,164,66
120,164,69
118,165,69
117,167,72
117,166,74
117,166,77
117,165,79
125,162,69
125,162,67
122,162,65
120,162,60
117,165,56
115,167,57
113,168,66
112,168,77
111,169,93
113,169,106
114,170,109
116,168,102
120,168,92
121,168,76
123,166,61
124,166,56
123,168,49
123,167,54
120,168,59
120,168,66
118,168,71
116,169,79
116,169,89
117,168,99
116,167,100
116,168,96
115,168,88
113,168,84
113,169,82
111,170,78
112,172,76
112,172,72
111,170,86
111,170,86
109,169,97
112,169,92
114,168,84
117,167,72
119,164,61
123,162,55
124,162,53
125,162,57
125,163,62
124,164,68
121,164,72
121,166,75
120,167,75
118,167,78
118,166,80
117,167,82
125,162,67
125,163,64
122,163,59
120,163,55
117,165,53
114,166,56
115,167,67
113,167,81
114,168,93
116,168,102
115,168,100
116,167,90
119,168,76
121,166,61
123,166,50
125,166,44
126,167,45
124,167,51
123,167,56
121,167,58
119,167,55
118,168,57
119,167,65
120,167,75
121,166,83
119,166,85
119,166,86
118,166,90
116,167,90
115,168,86
114,171,77
111,172,69
113,168,84
113,168,84
111,169,95
113,167,89
115,168,80
118,166,67
122,163,59
124,162,53
125,161,55
128,160,59
127,161,64
125,162,67
124,163,72
122,165,75
121,166,75
120,166,76
118,167,78
118,167,78
125,162,67
125,163,64
122,164,56
120,164,51
117,164,50
117,165,56
116,166,67
117,167,80
116,167,90
117,168,93
118,167,86
117,166,75
120,167,65
122,166,53
122,166,45
125,167,43
124,165,47
125,164,55
124,165,61
123,164,58
121,165,50
121,167,43
121,167,45
122,166,53
125,166,64
124,165,71
125,164,81
123,165,93
120,165,98
116,167,92
115,169,81
113,171,69
112,167,83
113,168,84
113,170,93
114,167,85
115,166,73
119,164,61
123,162,53
125,161,51
129,161,54
131,162,59
130,162,65
129,163,68
127,164,69
124,165,71
122,166,71
121,166,71
121,166,73
120,167,73
124,164,68
123,164,62
123,165,57
122,164,52
121,165,52
119,165,57
119,165,66
119,164,73
118,163,78
118,163,78
118,164,74
120,166,68
121,166,63
123,167,56
123,166,51
124,165,47
122,163,57
123,163,64
123,163,67
124,164,65
123,165,53
122,166,43
123,165,41
123,162,45
125,161,53
127,162,62
128,163,73
126,163,85
123,164,94
119,167,91
116,170,82
113,171,71
111,168,87
111,168,87
114,168,90
114,168,82
116,166,67
119,165,56
123,163,48
126,160,47
130,159,49
131,159,56
130,161,58
129,161,62
126,162,62
125,163,62
124,165,63
123,165,63
121,166,63
121,166,63
124,164,65
123,164,60
123,165,57
122,164,54
122,164,56
123,164,60
123,163,64
123,164,68
121,162,66
121,162,68
122,163,67
122,163,67
123,165,67
123,165,63
123,164,60
122,163,57
121,163,65
119,163,66
119,163,68
122,164,66
122,165,57
123,166,51
125,163,50
126,162,54
128,161,57
129,161,60
129,163,66
127,163,73
123,165,81
118,168,83
115,170,79
111,171,73
110,169,89
110,169,89
114,168,92
113,167,81
116,167,66
119,166,52
124,163,44
126,161,43
128,158,46
129,158,50
130,159,53
128,160,53
125,161,53
124,161,55
124,163,56
122,164,56
123,165,55
124,166,56
122,165,57
123,165,57
122,164,56
122,163,57
123,164,60
125,163,64
126,164,65
126,164,65
124,162,61
124,162,61
122,162,65
123,162,69
124,163,72
123,164,72
122,163,67
121,163,65
117,164,62
117,163,64
117,163,64
118,165,63
120,165,62
122,165,60
125,163,62
126,160,63
129,161,62
129,162,58
128,164,58
126,164,61
121,167,68
117,168,73
113,170,76
110,171,76
108,170,87
108,170,87
113,169,98
114,167,85
115,167,67
119,166,52
122,163,41
123,161,40
126,159,42
128,158,46
127,160,47
126,160,47
124,161,47
