H,S,V
242,5,121
241,3,123
241,3,127
243,5,129
244,6,128
244,4,131
244,4,129
244,4,127
243,5,127
243,4,131
243,4,134
243,4,134
243,4,133
243,5,127
243,5,125
244,6,126
243,4,131
243,5,127
243,5,127
243,5,127
243,5,129
243,5,127
242,5,119
242,6,114
242,6,114
243,6,120
244,6,128
244,6,130
244,6,128
244,6,128
244,6,128
244,5,132
247,7,130
246,8,132
244,6,130
243,5,127
244,7,125
244,7,125
242,4,128
242,3,133
241,2,132
242,4,128
242,5,123
242,5,123
242,4,126
242,3,130
242,3,130
243,5,129
244,4,129
244,4,127
244,5,125
243,5,127
243,5,129
243,4,133
243,4,134
243,4,133
242,4,126
243,5,125
244,6,126
243,4,131
243,5,129
243,5,127
243,5,127
243,5,129
243,5,127
242,5,119
242,6,114
242,6,114
243,6,120
244,6,128
244,6,130
244,6,128
244,6,128
244,6,130
244,5,132
246,8,132
246,7,134
244,5,132
243,5,127
245,7,127
244,6,126
242,3,130
242,2,135
242,2,135
242,3,130
242,4,124
242,4,124
242,4,128
242,3,130
242,3,130
243,5,129
243,4,124
243,4,123
244,5,124
243,6,124
243,5,127
243,4,131
243,4,133
243,4,131
242,4,128
243,5,127
244,6,128
243,4,131
243,5,129
243,5,127
243,5,127
243,5,129
243,5,127
242,5,119
242,6,114
243,7,115
243,6,120
244,6,128
244,6,130
244,6,128
244,6,128
244,6,130
244,5,132
247,9,133
247,8,135
245,6,133
244,6,130
245,7,129
244,6,130
242,3,133
240,2,139
241,3,140
243,4,134
242,4,128
242,4,126
242,4,128
242,3,130
243,4,131
243,5,129
243,4,121
243,5,119
243,5,117
244,6,120
243,6,124
243,5,129
243,4,131
243,4,131
242,4,128
243,5,127
244,6,130
243,4,131
243,5,129
243,5,127
243,5,129
243,5,129
242,4,126
242,5,121
242,6,114
243,7,115
244,7,123
244,6,128
244,6,130
244,6,130
244,6,128
244,6,130
244,5,132
247,9,133
247,8,135
244,5,134
243,4,131
245,7,131
242,6,132
241,4,136
242,4,142
243,5,143
242,5,137
243,4,131
242,4,128
242,3,130
242,3,132
243,4,131
243,5,129
244,6,118
244,6,117
243,6,114
243,5,116
243,6,122
243,5,127
243,5,129
243,4,131
243,5,129
243,5,129
244,5,134
242,3,130
242,4,128
242,4,126
242,4,128
242,3,130
242,4,126
242,5,121
242,6,116
243,7,117
244,7,123
244,6,128
244,5,132
244,6,130
244,6,128
242,6,130
242,6,132
247,9,133
246,7,134
244,5,134
243,4,131
243,7,133
243,7,135
242,4,141
243,4,147
243,4,147
243,5,142
242,6,134
243,4,131
242,3,130
242,3,132
243,4,131
243,5,127
244,6,117
244,7,115
243,6,112
243,6,114
243,5,117
243,6,124
243,5,129
243,5,129
243,5,129
244,5,132
245,6,136
242,3,130
242,4,128
242,4,126
242,4,128
242,3,130
242,4,128
242,5,121
243,7,117
243,7,117
244,7,123
244,6,130
244,5,132
244,6,130
242,7,128
242,6,130
242,6,132
246,8,130
246,7,134
242,6,134
241,5,131
243,7,133
244,7,137
243,5,143
244,5,150
243,4,149
243,5,142
243,7,135
244,5,132
243,4,131
242,3,130
242,4,128
243,5,127
244,7,115
244,7,113
243,6,110
243,6,112
243,5,116
242,5,121
243,5,127
243,5,129
243,5,129
243,4,131
245,6,136
242,3,130
242,4,128
242,4,126
242,4,128
242,3,130
242,4,128
242,5,121
243,7,117
243,7,117
243,6,122
244,6,130
244,5,132
242,6,130
242,7,128
242,6,130
242,6,132
244,9,128
244,8,132
242,6,132
242,6,132
243,7,133
243,6,136
242,4,142
243,4,149
243,4,149
243,5,143
244,7,137
245,6,133
243,4,131
242,3,130
242,4,126
242,4,124
244,7,115
244,7,113
243,6,110
243,6,110
243,5,116
242,5,121
243,5,127
243,5,129
242,3,130
243,4,133
244,4,137
242,3,130
242,4,128
242,4,126
242,4,128
242,3,130
242,4,128
243,6,124
243,7,117
243,7,117
243,6,124
244,6,130
244,5,132
242,6,130
243,8,129
243,7,131
244,8,134
245,10,129
244,9,130
242,6,132
242,6,132
242,6,132
242,5,135
243,5,143
243,4,149
243,4,149
243,5,143
241,5,133
242,4,128
243,5,129
243,5,129
243,5,125
242,5,123
244,7,115
244,7,113
243,6,110
243,6,110
243,6,114
243,4,121
243,5,125
243,5,129
243,4,131
244,5,134
243,6,138
242,3,130
242,4,128
242,4,126
242,4,128
242,3,130
242,4,128
243,6,124
243,7,118
243,7,118
243,6,124
244,6,130
242,6,132
242,6,130
243,8,129
243,7,131
244,8,134
245,10,128
244,9,130
242,6,130
242,6,130
242,6,130
242,6,134
243,5,143
243,4,149
243,4,149
243,5,142
243,4,133
242,4,128
243,5,127
243,5,127
243,5,125
242,5,121
244,6,117
244,7,113
243,6,110
243,6,110
243,6,114
243,5,119
243,5,125
243,5,129
243,4,131
244,5,134
243,6,138
