R,G,B
106,54,136
102,53,134
97,50,128
93,46,124
87,45,121
83,42,118
82,44,119
82,45,122
79,45,121
76,39,116
70,33,111
68,29,108
72,29,111
76,31,114
80,35,118
87,40,121
92,45,126
95,46,128
102,50,132
115,62,144
130,72,156
136,74,157
136,72,156
135,70,154
135,70,154
131,67,151
119,61,145
105,53,135
91,47,126
82,44,121
79,42,119
79,38,116
80,37,116
80,37,117
80,35,116
81,36,119
84,36,120
84,36,120
84,37,118
86,39,119
83,36,116
85,36,115
82,31,110
92,41,120
111,58,140
129,74,157
128,73,156
116,57,137
110,51,131
107,53,137
109,55,139
106,54,136
98,49,130
92,45,125
83,40,119
75,37,114
74,37,114
71,39,114
70,38,113
65,33,108
59,27,102
58,24,101
60,23,101
62,23,102
66,25,104
72,27,110
75,30,113
75,30,111
80,33,114
93,44,126
109,57,139
121,66,149
133,74,158
140,78,163
139,77,162
130,71,155
115,60,143
101,49,131
87,43,122
80,39,117
76,37,116
78,34,109
79,35,112
81,34,112
82,35,115
85,36,117
86,37,119
85,36,118
83,34,115
85,38,118
83,36,116
81,32,111
80,31,110
84,32,114
99,46,128
122,69,151
129,74,158
120,59,139
111,50,130
107,52,136
109,54,138
106,52,136
99,47,130
90,43,123
80,37,116
71,33,110
67,33,109
65,33,108
63,33,107
57,29,103
55,25,99
55,23,98
55,21,98
58,21,99
59,22,100
65,22,104
67,24,106
66,23,105
69,24,105
79,34,115
93,44,126
111,59,141
129,74,157
141,83,167
140,81,165
131,73,157
115,60,143
100,48,130
89,42,122
81,38,118
77,36,115
80,34,107
80,34,109
82,34,110
84,35,114
88,39,120
89,40,121
87,38,119
83,34,115
85,36,117
87,38,117
79,30,109
86,37,116
84,32,114
92,40,122
116,62,146
121,67,151
116,54,137
107,45,128
105,47,134
104,48,135
104,52,137
97,50,131
84,41,121
70,32,109
64,27,104
65,29,103
63,27,99
65,27,100
63,26,96
62,22,93
58,21,90
57,20,89
59,24,90
62,27,93
69,27,101
64,24,97
66,26,99
65,27,100
67,29,104
76,38,113
94,56,131
117,76,152
133,89,166
133,86,164
124,73,150
118,65,143
110,56,132
103,46,123
93,36,113
97,41,116
95,39,112
90,37,109
87,33,108
91,39,113
91,41,114
84,37,109
86,38,112
87,39,113
86,38,114
81,33,109
81,32,111
79,32,110
76,29,109
83,39,118
99,55,134
108,63,144
110,57,135
102,49,127
108,50,137
108,53,137
106,54,137
97,50,131
81,38,117
65,27,104
59,23,97
59,23,97
59,21,94
