H,S,V
114,170,161
102,183,164
95,195,169
89,196,170
88,187,167
96,179,169
105,171,170
111,166,169
114,163,168
116,161,166
120,161,163
125,161,161
125,157,154
112,157,160
104,166,161
90,181,163
87,197,168
87,201,168
94,184,159
112,165,157
134,148,157
144,136,159
143,133,158
137,144,163
128,161,166
112,178,164
103,200,165
98,225,172
88,231,169
104,210,174
97,201,166
96,200,163
105,210,170
106,208,171
107,196,166
116,183,165
121,166,159
125,153,157
131,148,158
136,148,160
136,153,163
128,157,161
121,163,161
119,170,163
118,174,165
123,164,160
122,161,158
134,148,161
131,156,163
122,167,164
109,177,164
99,188,166
92,194,170
89,188,167
90,176,165
102,168,167
112,162,171
117,161,174
118,160,172
117,160,166
121,163,162
125,161,159
125,157,152
120,159,164
109,168,164
93,181,165
91,201,174
94,204,175
98,183,164
112,161,157
130,148,158
132,144,158
126,153,164
118,163,166
110,173,165
101,185,162
105,211,173
100,235,179
78,233,167
95,212,168
92,201,160
95,195,159
102,204,167
98,210,170
93,216,172
94,217,173
92,197,166
100,177,161
115,159,162
128,149,166
137,150,169
133,150,166
124,158,160
118,168,159
117,176,158
123,168,165
122,164,162
129,147,159
124,157,162
112,169,162
100,183,163
92,192,164
88,195,167
93,188,166
94,170,160
107,162,165
113,155,167
111,153,165
110,157,165
111,165,167
115,170,165
118,171,161
119,169,157
118,168,167
110,175,167
98,185,169
92,194,172
98,193,173
102,178,165
110,163,157
116,158,157
112,162,161
111,173,168
107,177,169
115,183,172
108,174,160
100,183,157
94,206,166
90,224,173
101,211,172
95,197,160
96,187,156
99,188,158
97,197,161
92,211,169
90,221,177
90,221,181
97,207,180
99,179,168
115,162,168
129,152,168
134,150,165
129,157,161
123,169,159
116,178,157
127,161,162
121,155,156
127,149,160
122,162,164
108,174,164
96,190,164
87,198,165
87,201,165
95,196,166
97,180,162
105,170,162
108,168,168
108,169,170
105,176,172
105,180,173
106,182,169
108,179,163
110,177,159
107,178,164
103,184,167
96,189,168
96,191,171
103,187,171
107,174,165
108,165,159
106,167,162
100,173,164
100,180,169
103,176,165
113,170,163
117,162,157
114,167,157
108,181,162
102,195,168
103,189,164
97,185,160
96,185,157
99,185,156
100,186,157
98,188,160
93,193,165
88,197,168
88,196,172
87,181,163
102,175,164
119,165,162
129,161,160
130,162,159
122,172,161
114,178,161
134,159,164
129,152,158
128,146,160
123,158,162
108,176,163
94,193,164
84,205,164
84,209,165
89,208,166
91,196,163
93,189,162
93,186,165
92,189,170
92,194,173
94,196,174
97,192,170
103,188,167
106,185,164
98,191,160
96,197,165
92,197,166
93,191,166
101,182,167
105,170,164
105,165,163
103,169,165
103,176,169
105,178,169
108,173,165
108,160,156
113,158,155
115,160,157
112,163,158
111,168,161
108,170,159
101,178,160
95,185,160
95,185,159
99,178,156
101,169,154
99,169,158
98,176,163
97,185,169
89,184,162
97,190,163
107,182,159
117,176,156
122,173,158
122,176,163
115,177,164
135,158,164
130,153,159
137,135,156
126,148,159
109,170,162
90,193,163
79,211,164
77,222,167
78,221,167
78,210,161
81,202,159
82,198,163
80,198,164
81,200,170
82,201,171
86,199,169
93,197,170
99,199,171
93,206,160
92,207,164
91,203,165
92,192,164
98,181,165
102,171,166
103,167,166
103,169,168
108,172,171
110,172,169
112,171,167
102,161,155
104,167,159
102,167,159
102,163,156
109,166,160
106,174,159
101,182,165
97,184,165
98,179,164
104,169,161
105,164,158
104,169,163
105,183,170
104,193,171
95,194,165
96,200,163
98,196,158
105,188,158
114,179,159
118,174,161
118,171,161
131,159,163
128,156,160
151,126,156
135,138,155
113,164,159
92,191,163
76,213,167
73,228,171
71,224,167
73,214,161
78,204,157
82,197,158
83,194,161
81,195,162
79,197,165
79,200,167
81,205,171
84,209,175
90,212,163
88,208,163
91,201,164
94,189,165
99,179,166
103,172,167
103,172,169
102,171,168
105,169,168
108,170,167
112,174,169
100,173,162
97,181,165
88,179,161
89,176,159
99,180,165
94,197,167
96,194,169
100,182,168
108,167,165
114,159,164
109,163,163
99,179,166
98,201,174
97,207,172
90,202,164
93,205,165
93,201,165
102,195,166
109,181,161
118,168,157
126,163,156
129,157,160
128,156,159
161,119,155
144,130,155
123,154,157
98,179,162
81,203,166
76,218,170
70,217,165
72,208,160
79,200,159
86,194,160
90,191,161
89,189,161
85,192,164
80,198,166
78,202,168
77,205,170
88,200,164
87,195,163
92,191,163
97,184,165
101,177,165
104,174,166
107,174,167
104,175,167
102,175,164
101,177,164
103,184,167
100,187,168
96,191,169
86,185,164
83,185,163
93,192,171
87,212,170
89,203,170
97,184,167
111,165,165
117,156,163
109,163,163
97,184,167
90,204,170
88,207,167
86,201,162
91,203,167
91,202,170
102,197,173
112,180,167
126,162,158
135,153,155
133,152,158
135,154,160
163,115,153
149,123,152
133,143,155
110,161,156
91,179,157
84,195,163
77,199,162
77,199,162
79,197,162
84,195,163
88,192,165
89,189,163
90,188,163
92,187,163
88,186,161
86,184,159
95,177,163
93,177,162
95,182,166
97,184,168
98,176,163
103,171,160
111,173,162
110,176,162
104,183,162
96,190,163
91,194,164
98,198,170
98,190,167
